id,transaction_date,user_id,store_id,product_id,quantity,price,total,points,reference_number,transaction_type,Vendor_ID,reward_id
1,2025-11-22T01:50:04.914034,6,1,1,1,95,95,9.5,SUPR-20251122-2539,Purchase,7,
2,2025-11-22T01:50:04.914034,6,1,6,1,60,60,6,SUPR-20251122-2539,Purchase,7,
3,2025-11-22T01:50:05.683556,6,1,4,1,110,110,11,SUPR-20251122-1075,Purchase,9,
4,2025-11-22T01:50:05.683556,6,1,12,1,60,60,6,SUPR-20251122-1075,Purchase,9,
5,2025-11-22T01:50:05.683556,6,1,9,1,45,45,4.5,SUPR-20251122-1075,Purchase,9,
6,2025-11-22T01:50:06.272509,6,1,5,1,110,110,11,SUPR-20251122-5214,Purchase,7,
7,2025-11-22T01:50:06.272509,6,1,8,1,35,35,3.5,SUPR-20251122-5214,Purchase,7,
8,2025-11-22T01:50:06.759455,6,1,2,1,95,95,9.5,SUPR-20251122-7402,Purchase,9,
9,2025-11-22T01:50:06.759455,6,1,7,1,60,60,6,SUPR-20251122-7402,Purchase,9,
10,2025-11-22T01:50:06.759455,6,1,10,1,15,15,1.5,SUPR-20251122-7402,Purchase,9,
11,2025-11-22T01:50:07.229879,6,1,3,1,95,95,9.5,SUPR-20251122-5413,Purchase,7,
12,2025-11-22T01:50:07.229879,6,1,11,1,30,30,3,SUPR-20251122-5413,Purchase,7,
13,2025-11-22T01:50:07.654523,6,2,15,1,60,60,6,NUTE-20251122-3423,Purchase,9,
14,2025-11-22T01:50:07.654523,6,2,17,1,50,50,5,NUTE-20251122-3423,Purchase,9,
15,2025-11-22T01:50:08.143436,6,2,20,1,60,60,6,NUTE-20251122-3788,Purchase,7,
16,2025-11-22T01:50:08.143436,6,2,24,1,40,40,4,NUTE-20251122-3788,Purchase,7,
17,2025-11-22T01:50:08.598932,6,2,26,1,45,45,4.5,NUTE-20251122-5573,Purchase,9,
18,2025-11-22T01:50:08.598932,6,2,27,1,40,40,4,NUTE-20251122-5573,Purchase,9,
19,2025-11-22T01:50:09.066609,6,2,21,1,70,70,7,NUTE-20251122-2118,Purchase,7,
20,2025-11-22T01:50:09.066609,6,2,22,1,10,10,1,NUTE-20251122-2118,Purchase,7,
21,2025-11-22T01:50:09.066609,6,2,25,1,50,50,5,NUTE-20251122-2118,Purchase,7,
22,2025-11-22T01:50:09.491645,6,2,18,1,70,70,7,NUTE-20251122-3732,Purchase,9,
23,2025-11-22T01:50:09.491645,6,2,19,1,40,40,4,NUTE-20251122-3732,Purchase,9,
24,2025-11-22T01:50:09.968795,6,3,30,1,95,95,9.5,BREW-20251122-4832,Purchase,7,
25,2025-11-22T01:50:09.968795,6,3,34,1,40,40,4,BREW-20251122-4832,Purchase,7,
26,2025-11-22T01:50:10.353099,6,3,32,1,95,95,9.5,BREW-20251122-8413,Purchase,9,
27,2025-11-22T01:50:10.353099,6,3,35,1,55,55,5.5,BREW-20251122-8413,Purchase,9,
28,2025-11-22T01:50:10.803281,6,3,28,1,75,75,7.5,BREW-20251122-7964,Purchase,7,
29,2025-11-22T01:50:10.803281,6,3,33,1,30,30,3,BREW-20251122-7964,Purchase,7,
30,2025-11-22T01:50:10.803281,6,3,36,1,15,15,1.5,BREW-20251122-7964,Purchase,7,
31,2025-11-22T01:50:11.210257,6,3,31,1,95,95,9.5,BREW-20251122-8681,Purchase,9,
32,2025-11-22T01:50:11.210257,6,3,37,1,50,50,5,BREW-20251122-8681,Purchase,9,
33,2025-11-22T01:50:11.670095,6,3,29,1,85,85,8.5,BREW-20251122-5659,Purchase,7,
34,2025-11-22T01:50:11.670095,6,3,34,1,40,40,4,BREW-20251122-5659,Purchase,7,
35,2025-11-22T01:50:11.670095,6,3,39,1,10,10,1,BREW-20251122-5659,Purchase,7,
36,2025-11-22T01:50:12.18966,6,4,45,1,60,60,6,DIMS-20251122-7878,Purchase,9,
37,2025-11-22T01:50:12.18966,6,4,40,1,35,35,3.5,DIMS-20251122-7878,Purchase,9,
38,2025-11-22T01:50:12.630003,6,4,43,1,35,35,3.5,DIMS-20251122-5124,Purchase,7,
39,2025-11-22T01:50:12.630003,6,4,46,1,15,15,1.5,DIMS-20251122-5124,Purchase,7,
40,2025-11-22T01:50:13.049454,6,4,44,1,35,35,3.5,DIMS-20251122-4196,Purchase,9,
41,2025-11-22T01:50:13.049454,6,4,41,1,35,35,3.5,DIMS-20251122-4196,Purchase,9,
42,2025-11-22T01:50:13.049454,6,4,46,1,15,15,1.5,DIMS-20251122-4196,Purchase,9,
43,2025-11-22T01:50:13.474997,6,4,45,1,60,60,6,DIMS-20251122-5791,Purchase,7,
44,2025-11-22T01:50:13.474997,6,4,42,1,35,35,3.5,DIMS-20251122-5791,Purchase,7,
45,2025-11-22T01:50:13.92474,6,4,40,1,35,35,3.5,DIMS-20251122-6824,Purchase,9,
46,2025-11-22T01:50:13.92474,6,4,43,1,35,35,3.5,DIMS-20251122-6824,Purchase,9,
47,2025-11-22T01:50:13.92474,6,4,46,2,15,30,3,DIMS-20251122-6824,Purchase,9,
48,2025-11-22T01:50:14.389792,6,1,1,1,95,95,9.5,SUPR-20251122-4996,Purchase,7,
49,2025-11-22T01:50:14.389792,6,1,2,1,95,95,9.5,SUPR-20251122-4996,Purchase,7,
50,2025-11-22T01:50:14.389792,6,1,8,1,35,35,3.5,SUPR-20251122-4996,Purchase,7,
51,2025-11-22T01:50:14.780281,6,2,15,2,60,120,12,NUTE-20251122-8744,Purchase,9,
52,2025-11-22T01:50:14.780281,6,2,16,1,35,35,3.5,NUTE-20251122-8744,Purchase,9,
53,2025-11-22T01:50:14.780281,6,2,23,1,30,30,3,NUTE-20251122-8744,Purchase,9,
54,2025-11-22T01:50:15.253666,6,3,30,1,95,95,9.5,BREW-20251122-7439,Purchase,7,
55,2025-11-22T01:50:15.253666,6,3,28,1,75,75,7.5,BREW-20251122-7439,Purchase,7,
56,2025-11-22T01:50:15.253666,6,3,38,1,15,15,1.5,BREW-20251122-7439,Purchase,7,
57,2025-11-22T01:50:15.253666,6,3,39,1,10,10,1,BREW-20251122-7439,Purchase,7,
58,2025-11-22T01:50:15.77209,6,1,4,1,110,110,11,SUPR-20251122-3356,Purchase,9,
59,2025-11-22T01:50:15.77209,6,1,5,1,110,110,11,SUPR-20251122-3356,Purchase,9,
60,2025-11-22T01:50:15.77209,6,1,7,1,60,60,6,SUPR-20251122-3356,Purchase,9,
61,2025-11-22T01:50:15.77209,6,1,12,1,60,60,6,SUPR-20251122-3356,Purchase,9,
62,2025-11-22T01:50:16.231746,6,4,45,2,60,120,12,DIMS-20251122-7271,Purchase,7,
63,2025-11-22T01:50:16.231746,6,4,40,1,35,35,3.5,DIMS-20251122-7271,Purchase,7,
64,2025-11-22T01:50:16.231746,6,4,46,1,15,15,1.5,DIMS-20251122-7271,Purchase,7,
65,2025-11-22T01:50:16.61318,6,2,20,1,60,60,6,NUTE-20251122-3444,Purchase,9,
66,2025-11-22T01:50:16.61318,6,2,21,1,70,70,7,NUTE-20251122-3444,Purchase,9,
67,2025-11-22T01:50:16.61318,6,2,25,1,50,50,5,NUTE-20251122-3444,Purchase,9,
68,2025-11-22T01:50:17.048874,6,3,32,1,95,95,9.5,BREW-20251122-3245,Purchase,7,
69,2025-11-22T01:50:17.048874,6,3,31,1,95,95,9.5,BREW-20251122-3245,Purchase,7,
70,2025-11-22T01:50:17.048874,6,3,35,1,55,55,5.5,BREW-20251122-3245,Purchase,7,
71,2025-11-22T01:50:17.444272,6,1,3,1,95,95,9.5,SUPR-20251122-5112,Purchase,9,
72,2025-11-22T01:50:17.444272,6,1,6,1,60,60,6,SUPR-20251122-5112,Purchase,9,
73,2025-11-22T01:50:17.444272,6,1,10,1,15,15,1.5,SUPR-20251122-5112,Purchase,9,
74,2025-11-22T01:50:18.037963,6,4,44,1,35,35,3.5,DIMS-20251122-7542,Purchase,7,
75,2025-11-22T01:50:18.037963,6,4,42,1,35,35,3.5,DIMS-20251122-7542,Purchase,7,
76,2025-11-22T01:50:18.037963,6,4,41,1,35,35,3.5,DIMS-20251122-7542,Purchase,7,
77,2025-11-22T01:50:18.469903,6,2,18,1,70,70,7,NUTE-20251122-7494,Purchase,9,
78,2025-11-22T01:50:18.469903,6,2,26,1,45,45,4.5,NUTE-20251122-7494,Purchase,9,
79,2025-11-22T01:50:18.469903,6,2,27,1,40,40,4,NUTE-20251122-7494,Purchase,9,
80,2025-11-22T02:28:04.625,6,2,18,1,70,70,7,NUTE-20251122-1642,Purchase,9,
81,2025-11-22T02:28:04.625,6,2,26,2,45,90,9,NUTE-20251122-1642,Purchase,9,
82,2025-11-22T02:33:30.72,6,2,23,1,27,27,2.7,NUTE-20251122-6620,Purchase,9,1
83,2025-11-22T02:33:30.72,6,2,24,1,36,36,3.6,NUTE-20251122-6620,Purchase,9,1
84,2025-11-22T02:36:23.74,6,2,22,1,0,0,-20,NUTE-20251122-8683,Redemption,2,
85,2025-11-22T02:36:26.309,6,2,22,1,0,0,-20,NUTE-20251122-3259,Redemption,2,
86,2025-11-22T02:36:27.151,6,2,22,1,0,0,-20,NUTE-20251122-6097,Redemption,2,
87,2025-11-22T02:37:48.392,6,2,58,1,0,0,-10,NUTE-20251122-9004,Redemption,2,
